AAC73447	lacZ
AAC73448	lacI
AAC73449	mhpR
AAC73450	mhpA
AAC73451	mhpB
AAC73452	mhpC
AAC73453	mhpD
AAC73454	mhpF
AAC73455	mhpE
AAC73456	mhpT
AAC73457	yaiL
AAC73458	frmB
AAC73459	frmA
AAC73460	frmR
AAC73461	yaiO
AAC73463	insC1
AAC73464	insD1
AAC73466	yaiP
AAC73467	yaiS
AAC73468	tauA
AAC73469	tauB
AAC73470	tauC
AAC73471	tauD
AAC73472	hemB
AAC73475	insF1
AAC73476	insE1
AAC73478	yaiV
AAC73479	ampH
AAC73480	sbmA
AAC73481	yaiW
AAC73482	yaiY
AAC73483	yaiZ
AAC73484	ddlA
AAC73485	iraP
AAC73486	phoA
AAC73487	psiF
AAC73488	yaiC
AAC73489	proC
AAC73490	yaiI
AAC73491	aroL
AAC73492	yaiA
AAC73493	aroM
AAC73494	yaiE
AAC73496	rdgC
AAC73497	mak
AAC73499	araJ
AAC73500	sbcC
AAC73501	sbcD
AAC73502	phoB
AAC73503	phoR
AAC73504	brnQ
AAC73505	proY
AAC73506	malZ
AAC73507	acpH
AAC73508	queA
AAC73509	tgt
AAC73510	yajC
AAC73511	secD
AAC73512	secF
AAC73513	yajD
AAC73514	tsx
AAC73515	yajI
AAC73516	nrdR
AAC73517	ribD
AAC73518	ribE
AAC73519	nusB
AAC73520	thiL
AAC73521	pgpA
AAC73522	yajO
AAC73523	dxs
AAC73524	ispA
AAC73525	xseB
AAC73526	thiI
AAC73527	yajL
AAC73528	panE
AAC73529	yajQ
AAC73530	yajR
AAC73531	cyoE
AAC73532	cyoD
AAC73533	cyoC
AAC73534	cyoB
AAC73535	cyoA
AAC73536	ampG
AAC73537	yajG
AAC73538	bolA
AAC73539	tig
AAC73540	clpP
AAC73541	clpX
AAC73542	lon
AAC73543	hupB
AAC73544	ppiD
AAC73545	ybaV
AAC73546	fadM
AAC73547	queC
AAC73548	ybaE
AAC73549	cof
AAC73550	ybaO
AAC73551	mdlA
AAC73552	mdlB
AAC73553	glnK
AAC73554	amtB
AAC73555	tesB
AAC73556	ybaY
AAC73557	ybaZ
AAC73558	ybaA
AAC73559	ylaB
AAC73560	ylaC
AAC73561	maa
AAC73562	hha
AAC73563	tomB
AAC73564	acrB
AAC73565	acrA
AAC73566	acrR
AAC73567	mscK
AAC73568	ybaM
AAC73569	priC
AAC73570	ybaN
AAC73571	apt
AAC73572	dnaX
AAC73573	ybaB
AAC73574	recR
AAC73575	htpG
AAC73576	adk
AAC73577	hemH
AAC73578	aes
AAC73579	gsk
AAC73580	ybaL
AAC73581	fsr
AAC73582	ushA
AAC73583	ybaK
AAC73584	ybaP
AAC73585	ybaQ
AAC73586	copA
AAC73587	glsA
AAC73588	ybaT
AAC73589	cueR
AAC73590	ybbJ
AAC73591	qmcA
AAC73592	fetA
AAC73593	fetB
AAC73594	ybbN
AAC73595	ybbO
AAC73596	tesA
AAC73597	ybbA
AAC73598	ybbP
AAC73599	rhsD
AAC73600	ybbC
AAC73605	mnmH
AAC73606	allS
AAC73607	allA
AAC73608	allR
AAC73609	gcl
AAC73610	hyi
AAC73611	glxR
AAC73613	ybbW
AAC73614	allB
AAC73615	ybbY
AAC73616	glxK
AAC73617	allE
AAC73618	allC
AAC73619	allD
AAC73620	fdrA
ABD18638	ylbE
AAC73622	ylbF
AAC73623	ybcF
AAC73624	purK
AAC73625	purE
AAC73626	lpxH
AAC73627	ppiB
AAC73628	cysS
AAC73629	ybcI
AAC73630	ybcJ
AAC73631	folD
AAC73632	sfmA
AAC73633	sfmC
AAC73634	sfmD
AAC73635	sfmH
AAC73636	sfmF
AAC73637	sfmZ
AAC73638	intD
AAC73641	insE1
AAC73642	insF1
AAC73644	emrE
AAC73645	ybcK
AAC73646	ybcL
AAC73647	ybcM
ABP93435	ylcH
AAC73648	ybcN
AAC73649	ninE
AAC73650	ybcO
AAC73651	rusA
ABD18639	ylcG
AAC73652	quuD
AAC73653	insH1
AAC73655	essD
AAC73656	rrrD
AAC73657	rzpD
ABD18640	rzoD
AAC73658	borD
AAC73659	ybcV
AAC73660	ybcW
ABP93436	ylcI
AAC73661	nohD
AAC73665	appY
AAC73666	ompT
AAC73667	envY
AAC73668	ybcH
AAC73669	nfrA
AAC73670	nfrB
AAC73671	cusS
AAC73672	cusR
AAC73673	cusC
AAC73674	cusF
AAC73675	cusB
AAC73676	cusA
AAC73677	pheP
AAC73678	ybdG
AAC73679	nfsB
AAC73680	ybdF
AAC73681	ybdJ
AAC73682	ybdK
AAT48125	hokE
AAC73683	insL1
AAC73684	entD
AAC73685	fepA
AAC73686	fes
ABD18641	ybdZ
AAC73687	entF
AAC73688	fepE
AAC73689	fepC
AAC73690	fepG
AAC73691	fepD
AAC73692	entS
AAC73693	fepB
AAC73694	entC
AAC73695	entE
AAC73696	entB
AAC73697	entA
AAC73698	entH
AAC73699	cstA
ABD18642	ybdD
AAC73700	ybdH
AAC73701	ybdL
AAC73702	ybdM
AAC73703	ybdN
AAC73704	ybdO
AAC73705	dsbG
AAC73706	ahpC
AAC73707	ahpF
AAC73708	uspG
AAC73709	ybdR
AAC73711	rnk
AAC73712	rna
AAC73713	citT
AAC73714	citG
AAC73715	citX
AAC73716	citF
AAC73717	citE
AAC73718	citD
AAC73719	citC
AAC73720	citA
AAC73721	citB
AAC73722	dcuC
AAC73723	pagP
AAC73724	cspE
AAC73725	flc
AAC73728	tatE
AAC73729	lipA
AAC73730	ybeF
AAC73731	lipB
AAC73732	ybeD
AAC73733	dacA
AAC73734	rlpA
AAC73735	mrdB
AAC73736	mrdA
AAC73737	rlmH
AAC73738	rsfS
AAC73739	cobC
AAC73740	nadD
AAC73741	holA
AAC73742	lptE
AAC73743	leuS
AAC73744	ybeL
AAC73745	ybeQ
AAC73746	ybeR
AAC73747	djlB
AAC73748	ybeT
AAC73749	ybeU
AAC73750	djlC
AAC73751	hscC
AAC73752	rihA
AAC73753	gltL
AAC73754	gltK
AAC73755	gltJ
AAC73756	gltI
AAC73757	insH1
AAC73758	lnt
AAC73759	ybeX
AAC73760	ybeY
AAC73761	ybeZ
AAC73762	miaB
AAC73763	ubiF
AAC73768	asnB
AAC73769	umpH
