target_id	test_stat	pval	qval	rss	sigma_sq	tech_var	mean_obs	var_obs	sigma_sq_pmax	smooth_sigma_sq	final_sigma_sq	degrees_free	gene
1	AAC73695	19.4971305317308	0.0000100750916933469	0.0147802991984815	16.3344841425839	5.43977515066657	0.0050528968613974	6.81825316274409	5.44482804752796	5.43977515066657	0.0994611893398718	5.43977515066657	1	entE
2	AAC75266	18.7742440919806	0.000014714085812326	0.0147802991984815	20.4964039187225	6.82122547191704	0.0109091676571169	5.89223243945536	6.83213463957415	6.82122547191704	0.156667799675323	6.82122547191704	1	napA
3	AAC77114	19.890798030478	0.00000819940418471221	0.0147802991984815	11.30557608777	3.76795980379158	0.000565558798415535	8.14136021166845	3.76852536258999	3.76795980379158	0.0700450198545489	3.76795980379158	1	frdA
4	AAC77323	18.8351878256792	0.0000142513508875453	0.0147802991984815	10.2316664814355	3.4078953855746	0.00266010823723837	7.21994793159015	3.41055549381183	3.4078953855746	0.0866482411610141	3.4078953855746	1	fhuF
5	AAC75722	17.6944054013902	0.000025938837917923	0.0208444501508429	19.1724666912564	6.36011752909324	0.0307047013255507	5.69774403396572	6.39082223041879	6.36011752909324	0.17395062205831	6.36011752909324	1	nrdE
6	AAC73696	17.0494576235566	0.0000364187754458643	0.0209043771059261	16.0508027890018	5.34066083830295	0.00960675803098352	6.42991676354793	5.35026759633393	5.34066083830295	0.11830207350175	5.34066083830295	1	entB
7	AAC77112	17.2924224021664	0.0000320462238798396	0.0209043771059261	11.141540730696	3.70960287852801	0.00424403170397241	6.19516629588387	3.71384691023198	3.70960287852801	0.132813938413545	3.70960287852801	1	frdC
8	AAC73694	15.2082220308534	0.0000962832958993715	0.0261476578670149	16.4251772439938	5.46413305545172	0.0109260258795401	6.50208093503833	5.47505908133126	5.46413305545172	0.114357240755053	5.46413305545172	1	entC
9	AAC73697	14.2788919817955	0.000157622552921286	0.0261476578670149	9.52417416890032	3.16993891265164	0.00478581031513106	6.58355187434842	3.17472472296677	3.16993891265164	0.110129066097414	3.16993891265164	1	entA
10	AAC73698	14.4988809839861	0.000140242825800818	0.0261476578670149	14.5292836039742	4.83607167781143	0.00702285684664828	6.55816640768258	4.84309453465808	4.83607167781143	0.111419631910155	4.83607167781143	1	entH
11	AAC73816	14.8739541881914	0.000114939079745544	0.0261476578670149	4.14022353079226	1.37811769586864	0.0019568143954438	7.06043853855402	1.38007451026409	1.37811769586864	0.0910459115139461	1.37811769586864	1	sdhD
12	AAC73892	14.1455328728945	0.000169198383410251	0.0261476578670149	4.94483147962405	1.64464334674244	0.00363381313223851	6.48151000257	1.64827715987468	1.64464334674244	0.115463397754132	1.64464334674244	1	fiu
13	AAC73981	15.3133322929315	0.0000910714882696136	0.0261476578670149	20.2196830686404	6.70940420149459	0.0304901547188623	4.68455098222988	6.73989435621345	6.70940420149459	0.313071638652076	6.70940420149459	1	dmsB
14	AAC73982	14.658368143057	0.000128861263378759	0.0261476578670149	6.94364804241771	2.30936361080683	0.00518573666574334	5.84251662502981	2.31454934747257	2.30936361080683	0.161018986119062	2.30936361080683	1	dmsC
15	AAC74338	14.2060660257247	0.000163841490010434	0.0261476578670149	18.9612092213452	6.30974145159941	0.0106616221823124	5.62223834372922	6.32040307378172	6.30974145159941	0.180753167390637	6.30974145159941	1	ompW
16	AAC74534	14.3246903485542	0.000153833930691966	0.0261476578670149	3.67099370032438	1.22113048352366	0.00253408325113212	6.81723833460531	1.22366456677479	1.22113048352366	0.0995020963603934	1.22113048352366	1	yncE
17	AAC74827	14.7565056697968	0.00012232473081003	0.0261476578670149	4.88636175170103	1.62706600324109	0.00172124732591693	6.63721306431902	1.62878725056701	1.62706600324109	0.107484670002355	1.62706600324109	1	ynjE
18	AAC74996	14.2254811223148	0.000162159783004378	0.0261476578670149	5.97574842309556	1.98836208579043	0.00355405524141812	6.03597169474564	1.99191614103185	1.98836208579043	0.14471062440995	1.98836208579043	1	yedE
19	AAC75089	15.1359354361041	0.000100040781413427	0.0261476578670149	5.84199225510496	1.94605306405643	0.00127768764522738	7.40979353124136	1.94733075170165	1.94605306405643	0.0822428088615524	1.94605306405643	1	ugd
20	AAC75117	15.115901319368	0.00010110804090689	0.0261476578670149	69.2132820858358	23.0708626996832	0.000231328928693909	3.46024200245993	23.0710940286119	23.0708626996832	1.2921464522226	23.0708626996832	1	wcaD
21	AAC75216	16.2481778593858	0.0000555630057175024	0.0261476578670149	7.47855928418071	2.49040413589143	0.0024489588354784	7.14607115152799	2.49285309472691	2.49040413589143	0.0885945280170956	2.49040413589143	1	cirA
22	AAC75262	14.510873617674	0.000139352858053431	0.0261476578670149	8.37300830973842	2.78318183401019	0.00782093590261416	5.38287505209222	2.79100276991281	2.78318183401019	0.204456350927247	2.78318183401019	1	napC
23	AAC76032	14.2255502948808	0.000162153822562524	0.0261476578670149	12.1086531907221	4.02765022002651	0.00856751021420049	5.37111828140365	4.03621773024071	4.02765022002651	0.20577024592201	4.02765022002651	1	hybA
24	AAC76911	15.6535931434332	0.0000760679181495664	0.0261476578670149	3.75841615150692	1.25220952975497	0.000595854080667259	7.66551435729877	1.25280538383564	1.25220952975497	0.0773084510732473	1.25220952975497	1	rraA
25	AAC77113	14.9609131595061	0.000109761377242837	0.0261476578670149	15.630614512315	5.20668572298603	0.00351911445232425	6.92270984929304	5.21020483743835	5.20668572298603	0.0955094323500147	5.20668572298603	1	frdB
